OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2026-08-21T12:47:44.736288,15.49551867,.00076729,51.6331,336.6713,69.9303,290.2511,0,U,25544,999,58188,.16558344E-3,.8864E-4,0
POISK,2009-060A,2026-08-21T12:47:44.736288,15.49551867,.00076729,51.6331,336.6713,69.9303,290.2511,0,U,36086,999,58186,.16558344E-3,.8864E-4,0
CSS (TIANHE),2021-035A,2026-08-21T12:08:39.948288,15.59124724,.00015406,41.4689,285.4972,256.2748,103.7919,0,U,48274,999,30336,.14009508E-3,.10952E-3,0
ISS (NAUKA),2021-066A,2026-08-21T12:47:44.736288,15.49551867,.00076729,51.6331,336.6713,69.9303,290.2511,0,U,49044,999,58190,.16558344E-3,.8864E-4,0
FREGAT DEB,2011-037PF,2026-08-21T04:38:30.598080,12.43629274,.09228755,51.6377,166.2712,65.7123,303.7288,0,U,49271,999,23313,.2466808E-1,.16079E-3,0
CSS (WENTIAN),2022-085A,2026-08-21T12:08:39.948288,15.59124724,.00015406,41.4689,285.4972,256.2748,103.7919,0,U,53239,999,28823,.14009508E-3,.10952E-3,0
CSS (MENGTIAN),2022-143A,2026-08-21T12:08:39.948288,15.59124724,.00015406,41.4689,285.4972,256.2748,103.7919,0,U,54216,999,30346,.14009508E-3,.10952E-3,0
HRC MONOBLOCK CAMERA,1998-067XR,2026-08-21T05:50:33.725760,15.86007754,.00063445,51.6189,302.2729,7.2695,352.8400,0,U,66052,999,4828,.56528515E-3,.144331E-2,0
SZ-21 MODULE,2025-246C,2026-08-21T03:49:12.469440,15.82313509,.00075995,41.4705,260.9318,126.1829,233.9721,0,U,66515,999,4401,.26648162E-3,.57002E-3,0
DUPLEX,1998-067XS,2026-08-21T12:07:34.134816,15.67449688,.00037642,51.6272,318.4425,43.9143,316.2152,0,U,66906,999,4088,.40360093E-3,.44308E-3,0
KNACKSAT-2,1998-067XZ,2026-08-21T05:59:27.879936,15.66017576,.00073126,51.6281,325.7620,71.8191,288.3600,0,U,67683,999,3045,.59989264E-3,.62594E-3,0
GXIBA-1,1998-067YB,2026-08-21T06:51:49.320864,15.69018695,.00079159,51.6261,323.7320,67.0847,293.0985,0,U,67685,999,3048,.68196293E-3,.8074E-3,0
UITMSAT-2,1998-067YC,2026-08-21T06:44:27.610368,15.76425716,.00074946,51.6250,319.9170,24.1087,336.0262,0,U,67686,999,3053,.87941391E-3,.144254E-2,0
LEOPARD,1998-067YD,2026-08-21T06:32:50.972352,15.68868058,.00072256,51.6273,324.4259,33.2802,326.8648,0,U,67687,999,3039,.79738602E-3,.94042E-3,0
HMU-SAT2,1998-067YE,2026-08-21T05:53:13.766208,15.72666068,.0006807,51.6259,321.9642,30.3018,329.8373,0,U,67688,999,3042,.78035182E-3,.108126E-2,0
CREW DRAGON 12,2026-031A,2026-08-21T12:47:44.736288,15.49551867,.00076729,51.6331,336.6713,69.9303,290.2511,0,U,67796,999,58211,.16558344E-3,.8864E-4,0
PROGRESS-MS 33,2026-058A,2026-08-21T12:47:44.736288,15.49551867,.00076729,51.6331,336.6713,69.9303,290.2511,0,U,68319,999,58202,.16558344E-3,.8864E-4,0
CYGNUS NG-24,2026-079A,2026-08-21T12:47:44.736288,15.49551867,.00076729,51.6331,336.6713,69.9303,290.2511,0,U,68689,999,58223,.16558344E-3,.8864E-4,0
PROGRESS-MS 34,2026-093A,2026-08-21T12:47:44.736288,15.49551867,.00076729,51.6331,336.6713,69.9303,290.2511,0,U,68837,999,58227,.16558344E-3,.8864E-4,0
TIANZHOU-10,2026-102A,2026-08-21T12:08:39.948288,15.59124724,.00015406,41.4689,285.4972,256.2748,103.7919,0,U,69049,999,30356,.14009508E-3,.10952E-3,0
SHENZHOU-23 (SZ-23),2026-113A,2026-08-21T12:08:39.948288,15.59124724,.00015406,41.4689,285.4972,256.2748,103.7919,0,U,69180,999,30328,.14009508E-3,.10952E-3,0
SOYUZ-MS 29,2026-162A,2026-08-21T12:47:44.736288,15.49551867,.00076729,51.6331,336.6713,69.9303,290.2511,0,U,100057,999,58214,.16558344E-3,.8864E-4,0
